,User-ID,ISBN,Book-Rating,Book-Title
1943,278418,0394820371,8,The Phantom Tollbooth
1970,278418,0515131229,8,Dance upon the Air (Three Sisters Island Trilogy)
1969,278418,0515130389,8,Carolina Moon
711,277427,0440224764,7,The Partner
726,277427,0452284449,6,The Virgin Blue
732,277427,0553280368,9,C Is for Corpse (Kinsey Millhone Mysteries (Paperback))
730,277427,0552137030,8,
676,277427,0061009059,9,One for the Money (Stephanie Plum Novels (Paperback))
672,277427,002542730X,10,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
687,277427,0316776963,8,Me Talk Pretty One Day
689,277427,0345413903,10,The Murder Book
704,277427,0399501487,9,Lord of the Flies
698,277427,0385504209,8,The Da Vinci Code
696,277427,0385486804,9,Into the Wild
757,277427,0743412028,9,Pay It Forward
749,277427,0679731148,9,A Year in Provence
432491,275970,0385722206,10,Balzac and the Little Chinese Seamstress : A Novel
432497,275970,0440180295,9,Slaughterhouse Five or the Children's Crusade: A Duty Dance With Death
432495,275970,043936213X,9,Harry Potter and the Sorcerer's Stone (Book 1)
432486,275970,0380977788,9,Coraline
432490,275970,038572179X,9,Atonement : A Novel
432500,275970,044651652X,6,The Bridges of Madison County
432459,275970,014029628X,9,Girl in Hyacinth Blue
432455,275970,0064400557,10,Charlotte's Web (Trophy Newbery)
432450,275970,0060916508,8,Their Eyes Were Watching God: A Novel
430438,274301,0425175405,7,Black Notice
430437,274301,0425169863,5,Point of Origin
430436,274301,0425163407,6,Unnatural Exposure
430435,274301,0425158616,7,Cause of Death
430434,274301,0425154092,6,From Potter's Field
430433,274301,0425147622,6,The Body Farm
430439,274301,0425180638,7,The Last Precinct
430461,274301,0449003787,8,"\O\"" Is for Outlaw"""
430449,274301,0440235596,10,Tara Road
430448,274301,0440223202,10,Evening Class
430445,274301,0440206154,10,Red Dragon
430420,274301,0380718340,8,Cruel &amp; Unusual (Kay Scarpetta Mysteries (Paperback))
430396,274301,0312924585,10,Silence of the Lambs
430419,274301,0380718332,8,All That Remains (Kay Scarpetta Mysteries (Paperback))
430465,274301,0449221512,10,I Is for Innocent
430482,274301,0553280341,10,B Is for Burglar (Kinsey Millhone Mysteries (Paperback))
430481,274301,0553279912,10,A Is for Alibi (Kinsey Millhone Mysteries (Paperback))
430480,274301,0553279556,10,E Is for Evidence: A Kinsey Millhone Mystery (Kinsey Millhone Mysteries (Paperback))
430478,274301,0553271636,10,D Is for Deadbeat (Kinsey Millhone Mysteries (Paperback))
430473,274301,0451203771,10,Scarlet Feather
430503,274301,0684865742,7,Tis: A Memoir
430466,274301,0451169530,7,The Stand: Complete and Uncut
430483,274301,0553280368,10,C Is for Corpse (Kinsey Millhone Mysteries (Paperback))
430501,274301,068484267X,10,Angela's Ashes: A Memoir
430500,274301,0684801523,7,The Great Gatsby
430493,274301,0671011367,9,Deja Dead
429997,274061,0451160525,10,"The Gunslinger (The Dark Tower, Book 1)"
429995,274061,0451156609,10,The Tommyknockers
429911,274061,0345339681,10,The Hobbit : The Enchanting Prelude to The Lord of the Rings
429930,274061,0345444884,10,The Talisman
430002,274061,0451176464,10,Gerald's Game
430041,274061,0671042858,10,The Girl Who Loved Tom Gordon
430050,274061,0743211383,10,Dreamcatcher
430040,274061,0671041789,10,The Green Mile
430038,274061,067102423X,10,Bag of Bones
429734,274004,0345436911,9,The Dress Lodger (Ballantine Reader's Circle)
429733,274004,0345413903,8,The Murder Book
429728,274004,0345370775,7,Jurassic Park
429730,274004,0345384466,9,The Witching Hour (Lives of the Mayfair Witches)
429729,274004,0345380371,7,Rising Sun
429727,274004,0345313860,9,"The Vampire Lestat (Vampire Chronicles, Book II)"
429742,274004,0380002930,10,Watership Down
429748,274004,0425172546,7,Southern Cross
429752,274004,0440220602,8,The Chamber
429696,274004,0060934417,8,Bel Canto: A Novel
429699,274004,0060958022,6,Five Quarters of the Orange
429698,274004,0060938455,10,Fast Food Nation: The Dark Side of the All-American Meal
429694,274004,0060392452,9,Stupid White Men ...and Other Sorry Excuses for the State of the Nation!
429715,274004,0312422156,8,Middlesex: A Novel
429809,274004,1400034779,8,The No. 1 Ladies' Detective Agency (Today Show Book Club #8)
429764,274004,0552998486,8,Chocolat
429766,274004,0553572997,9,The Alienist
428704,273113,0446605239,5,The Notebook
428770,273113,0671021001,5,She's Come Undone (Oprah's Book Club)
428751,273113,0515136530,5,"Key of Valor (Roberts, Nora. Key Trilogy, 3.)"
428747,273113,051513287X,5,Face the Fire (Three Sisters Island Trilogy)
428746,273113,0515132020,5,Heaven and Earth (Three Sisters Island Trilogy)
428745,273113,0515131229,5,Dance upon the Air (Three Sisters Island Trilogy)
428744,273113,0515128554,5,Heart of the Sea (Irish Trilogy)
428743,273113,0515128546,5,Tears of the Moon (Irish Trilogy)
428741,273113,0515126772,5,Jewels of the Sun (Irish Trilogy)
427330,271705,0151008116,9,Life of Pi
427343,271705,0312195516,8,The Red Tent (Bestselling Backlist)
427345,271705,0312278586,8,The Nanny Diaries: A Novel
427347,271705,0316096199,7,Lucky : A Memoir
427350,271705,0345348036,8,The Princess Bride: S Morgenstern's Classic Tale of True Love and High Adventure
427352,271705,0345436911,8,The Dress Lodger (Ballantine Reader's Circle)
427307,271705,014029628X,8,Girl in Hyacinth Blue
427295,271705,0060502258,8,The Divine Secrets of the Ya-Ya Sisterhood: A Novel
427298,271705,0060958022,7,Five Quarters of the Orange
427308,271705,0140298479,9,Bridget Jones: The Edge of Reason
427398,271705,080411109X,9,The Hundred Secret Senses
427360,271705,0439136350,10,Harry Potter and the Prisoner of Azkaban (Book 3)
427361,271705,0440206154,8,Red Dragon
427362,271705,0441790348,9,Stranger in a Strange Land (Remembering Tomorrow)
427366,271705,0449212602,9,The Handmaid's Tale
427370,271705,0451524934,10,1984
427381,271705,059035342X,10,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback))
427377,271705,0552998486,9,Chocolat
426828,271448,038533334X,6,Charming Billy
426827,271448,038079487X,7,What Looks Like Crazy On An Ordinary Day
426821,271448,0375707972,6,The Reader
426820,271448,037570504X,9,"Breath, Eyes, Memory"
426819,271448,0375703063,8,A Virtuous Woman (Oprah's Book Club (Paperback))
426818,271448,0375702709,5,A Lesson Before Dying (Vintage Contemporaries (Paperback))
426817,271448,0375700757,7,Cold Mountain : A Novel
426831,271448,0385505833,9,Skipping Christmas
426837,271448,0439139600,10,Harry Potter and the Goblet of Fire (Book 4)
426838,271448,043935806X,10,Harry Potter and the Order of the Phoenix (Book 5)
426842,271448,0440213525,7,The Client
426844,271448,044023722X,10,A Painted House
426845,271448,0440498058,7,A Wrinkle In Time
426806,271448,0316666343,10,The Lovely Bones: A Novel
426813,271448,0345443284,9,While I Was Gone
426785,271448,0060928336,10,Divine Secrets of the Ya-Ya Sisterhood: A Novel
426786,271448,0060987103,9,Wicked: The Life and Times of the Wicked Witch of the West
426788,271448,0064407667,8,"The Bad Beginning (A Series of Unfortunate Events, Book 1)"
426789,271448,0064472272,8,"Angus, Thongs and Full-Frontal Snogging: Confessions of Georgia Nicolson"
426797,271448,0312195516,9,The Red Tent (Bestselling Backlist)
426799,271448,0312291639,10,The Nanny Diaries: A Novel
426800,271448,0312305060,7,The Hours: A Novel
426803,271448,0312966091,9,Three To Get Deadly : A Stephanie Plum Novel (A Stephanie Plum Novel)
426805,271448,0316569321,9,White Oleander : A Novel
426848,271448,0446672211,10,Where the Heart Is (Oprah's Book Club (Paperback))
426807,271448,0316769487,7,The Catcher in the Rye
426847,271448,0446605239,4,The Notebook
426881,271448,068484477X,7,STONES FROM THE RIVER
426889,271448,0743225406,9,The Shipping News : A Novel
426890,271448,0743237188,10,Fall On Your Knees (Oprah #45)
426895,271448,0804114986,9,The Bonesetter's Daughter
426903,271448,0971880107,2,Wild Animus
426904,271448,1400032717,10,The Curious Incident of the Dog in the Night-Time (Vintage Contemporaries)
426907,271448,155874262X,9,Chicken Soup for the Soul (Chicken Soup for the Soul)
426910,271448,1592400876,10,"Eats, Shoots &amp; Leaves: The Zero Tolerance Approach to Punctuation"
426856,271448,0451202341,10,Back Roads
426861,271448,0452282829,10,We Were the Mulvaneys
426864,271448,0553274295,10,Where the Red Fern Grows
426872,271448,0671038184,8,Jewel
425622,270713,0440226104,7,Black and Blue
425615,270713,0425169863,8,Point of Origin
425614,270713,0425158616,7,Cause of Death
425613,270713,0425147622,7,The Body Farm
425611,270713,039592720X,9,Interpreter of Maladies
425638,270713,0446672211,5,Where the Heart Is (Oprah's Book Club (Paperback))
425666,270713,0553250426,8,The Clan of the Cave Bear (Earth's Children (Paperback))
425667,270713,0553250531,8,The Valley of Horses
425669,270713,0553296981,10,Anne Frank: The Diary of a Young Girl
425602,270713,038079487X,10,What Looks Like Crazy On An Ordinary Day
425642,270713,0451191145,9,Atlas Shrugged
425653,270713,0452282152,8,Girl with a Pearl Earring
425649,270713,0452260116,8,Song of Solomon (Oprah's Book Club (Paperback))
425551,270713,014029628X,7,Girl in Hyacinth Blue
425558,270713,0312195516,10,The Red Tent (Bestselling Backlist)
425600,270713,0380730138,3,Vinegar Hill (Oprah's Book Club (Paperback))
425587,270713,0375707972,6,The Reader
425590,270713,0380002930,10,Watership Down
425597,270713,0380718340,7,Cruel &amp; Unusual (Kay Scarpetta Mysteries (Paperback))
425584,270713,0345443284,7,While I Was Gone
425581,270713,0345387651,9,The Cider House Rules
425580,270713,0345384466,7,The Witching Hour (Lives of the Mayfair Witches)
425579,270713,034536676X,10,The World According to Garp
425577,270713,0345350499,10,The Mists of Avalon
425576,270713,0345337662,6,Interview with the Vampire
425574,270713,0316776963,7,Me Talk Pretty One Day
425771,270713,0786868716,10,The Five People You Meet in Heaven
425772,270713,0804106304,8,The Joy Luck Club
425773,270713,0805063897,8,Nickel and Dimed: On (Not) Getting By in America
425776,270713,0812550706,10,Ender's Game (Ender Wiggins Saga (Paperback))
425703,270713,0671708635,8,Seven Habits Of Highly Effective People
425678,270713,0671004573,6,Before I Say Good-Bye
425734,270713,0689817851,9,Go Ask Alice
425725,270713,0679781587,10,
425737,270713,0743227441,8,The Other Boleyn Girl
424262,269728,0553280368,9,C Is for Corpse (Kinsey Millhone Mysteries (Paperback))
423871,269566,0439136350,7,Harry Potter and the Prisoner of Azkaban (Book 3)
423878,269566,0440219078,8,The Giver (21st Century Reference)
423882,269566,0440414806,9,Holes (Yearling Newbery)
423857,269566,0385492081,8,Into Thin Air : A Personal Account of the Mt. Everest Disaster
423810,269566,0064400557,8,Charlotte's Web (Trophy Newbery)
423805,269566,002542730X,7,Politically Correct Bedtime Stories: Modern Tales for Our Life and Times
423850,269566,0345370775,7,Jurassic Park
423847,269566,0316601950,7,The Pilot's Wife : A Novel
423963,269566,0804106304,8,The Joy Luck Club
423986,269566,0894805770,7,What to Expect the First Year
423919,269566,059035342X,7,Harry Potter and the Sorcerer's Stone (Harry Potter (Paperback))
423915,269566,0553250426,5,The Clan of the Cave Bear (Earth's Children (Paperback))
423937,269566,0671617028,8,The Color Purple
423944,269566,067976402X,8,Snow Falling on Cedars
422890,268932,0446531332,5,Nights in Rodanthe
422877,268932,0425152251,10,Sophie's World: A Novel About the History of Philosophy
422865,268932,0385486804,7,Into the Wild
422861,268932,0375703055,10,Ellen Foster
422855,268932,0316969443,5,Suzanne's Diary for Nicholas
423015,268932,1558744150,9,Chicken Soup for the Woman's Soul (Chicken Soup for the Soul Series (Paper))
422956,268932,067976402X,10,Snow Falling on Cedars
422045,268300,0440211727,9,A Time to Kill
422044,268300,0440206154,10,Red Dragon
422037,268300,038529929X,8,Hannibal
422074,268300,0553579754,7,Fear Nothing
422051,268300,0441003257,10,Good Omens
422056,268300,0451160525,10,"The Gunslinger (The Dark Tower, Book 1)"
422010,268300,0312924585,10,Silence of the Lambs
422015,268300,0316666343,10,The Lovely Bones: A Novel
422016,268300,0316769487,9,The Catcher in the Rye
422019,268300,0345313860,10,"The Vampire Lestat (Vampire Chronicles, Book II)"
422020,268300,0345339681,8,The Hobbit : The Enchanting Prelude to The Lord of the Rings
422021,268300,0345351525,9,The Queen of the Damned (Vampire Chronicles (Paperback))
422022,268300,0345369947,8,The Mummy or Ramses the Damned
422023,268300,0345384466,8,The Witching Hour (Lives of the Mayfair Witches)
422024,268300,034538475X,9,The Tale of the Body Thief (Vampire Chronicles (Paperback))
421738,268110,038079487X,6,What Looks Like Crazy On An Ordinary Day
421742,268110,038533334X,8,Charming Billy
421729,268110,0375705856,8,Plainsong (Vintage Contemporaries)
421727,268110,0375412824,7,The Dive From Clausen's Pier (Alex Awards)
421758,268110,0446670111,9,Einstein's Dreams
421744,268110,0385335482,8,Confessions of a Shopaholic (Summer Display Opportunity)
421746,268110,0385722206,8,Balzac and the Little Chinese Seamstress : A Novel
421749,268110,0394820371,7,The Phantom Tollbooth
421757,268110,044651652X,2,The Bridges of Madison County
421724,268110,0345438329,7,Big Stone Gap: A Novel (Ballantine Reader's Circle)
421693,268110,0060959037,9,Prodigal Summer: A Novel
421692,268110,0060928336,8,Divine Secrets of the Ya-Ya Sisterhood: A Novel
421720,268110,0345413350,5,"The Golden Compass (His Dark Materials, Book 1)"
421718,268110,0316666343,7,The Lovely Bones: A Novel
421800,268110,0767905180,9,Jemima J: A Novel About Ugly Ducklings and Swans
421798,268110,0767900383,8,Under the Tuscan Sun
421821,268110,1573225789,5,The Color of Water: A Black Man's Tribute to His White Mother
421769,268110,0452269571,8,Bastard Out of Carolina
421783,268110,0679751521,6,Midnight in the Garden of Good and Evil
419061,266226,0440206154,8,Red Dragon
419026,266226,0060929871,7,Brave New World
419041,266226,0312924585,8,Silence of the Lambs
419044,266226,0345339681,5,The Hobbit : The Enchanting Prelude to The Lord of the Rings
419121,266226,0804106304,9,The Joy Luck Club
419100,266226,0553296981,10,Anne Frank: The Diary of a Young Girl
419107,266226,0679745203,10,The English Patient
418856,266056,0385720106,8,A Map of the World
418854,266056,0385492081,9,Into Thin Air : A Personal Account of the Mt. Everest Disaster
418855,266056,038550926X,9,The Devil Wears Prada : A Novel
418853,266056,0385484518,8,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson"
418866,266056,0440498058,8,A Wrinkle In Time
418870,266056,0446608815,9,Pop Goes the Weasel
418871,266056,0446610038,7,1st to Die: A Novel
418873,266056,0446612545,7,The Beach House
418847,266056,0375706771,9,Midwives: A Novel
418819,266056,0060987561,3,I Know This Much Is True
